Target_genes	NANOG|Average	SRX13365367|293	SRX13365368|293	SRX13441621|293	SRX13441622|293	SRX5286324|ES_cells	SRX5286325|ES_cells	SRX5286327|ES_cells	SRX5286328|ES_cells	SRX702044|hESC_derived_ectodermal_cells	SRX702037|hESC_derived_mesendodermal_cells	SRX702038|hESC_derived_mesendodermal_cells	SRX702042|hESC_derived_mesendodermal_cells	SRX702043|hESC_derived_mesendodermal_cells	SRX011617|hESC_H1	SRX011618|hESC_H1	SRX017277|hESC_H1	SRX100482|hESC_H1	SRX10448024|hESC_H1	SRX13437668|hESC_H1	SRX13437669|hESC_H1	SRX1303985|hESC_H9	SRX2881137|hESC_H9	SRX2881138|hESC_H9	SRX3288566|hESC_H9	SRX3288567|hESC_H9	SRX6101126|hESC_H9	SRX6101127|hESC_H9	SRX266862|hESC_HUES64	SRX266863|hESC_HUES64	SRX702036|hESC_HUES64	SRX702039|hESC_HUES64	SRX702040|hESC_HUES64	SRX702041|hESC_HUES64	SRX20532160|hESC_HUES8	SRX20532161|hESC_HUES8	SRX11783370|hESC_UCLA2	SRX11783372|hESC_UCLA2	SRX5286326|hESC_WIBR2	SRX5286329|hESC_WIBR2	SRX5457195|iPS_cells	SRX5457196|iPS_cells	SRX1424693|LNCAP	SRX1424694|LNCAP	SRX1424695|LNCAP	SRX1424696|LNCAP	SRX1424697|LNCAP	SRX10445282|Neural_crest_cells	SRX10445290|Neural_crest_cells	SRX10445300|Neural_crest_cells	SRX10445309|Neural_crest_cells	SRX11783374|PGCLC	SRX11783376|PGCLC	STRING
GNA12	75.923077	0	109	0	0	0	0	398	0	0	0	0	0	0	0	0	0	0	1184	0	0	0	0	0	133	0	0	0	0	0	0	0	0	0	484	286	0	0	295	210	0	0	0	0	0	0	0	143	132	130	355	89	0	0
DAG1	75.884615	0	0	0	0	0	0	0	0	0	111	0	0	0	0	0	97	0	617	0	0	0	246	0	158	0	102	130	0	0	0	0	129	0	322	288	0	0	514	346	0	0	0	0	0	0	0	162	84	285	355	0	0	0
CLEC9A	75.769231	0	0	0	0	157	0	0	0	0	0	0	0	0	0	0	0	0	1614	0	0	0	0	0	0	0	694	630	0	0	0	0	0	0	0	0	0	0	555	0	0	0	0	0	0	0	0	0	0	0	0	290	0	0
PSMA6	75.750000	0	183	0	0	0	0	0	0	0	115	0	0	0	0	0	109	0	1521	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	629	590	0	0	0	175	0	0	0	0	0	0	0	0	243	134	148	0	0	0
STARD4	75.673077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	771	0	0	0	0	0	129	0	0	145	0	0	0	0	118	0	1021	991	0	0	0	292	0	0	0	0	0	0	123	109	0	103	133	0	0	0
SCRN3	75.653846	0	0	0	0	0	0	0	0	0	136	0	0	0	0	0	155	0	1064	0	0	0	116	0	153	0	0	0	0	0	0	0	162	108	784	696	0	0	0	367	0	0	0	0	0	0	0	0	0	0	193	0	0	0
CIR1	75.653846	0	0	0	0	0	0	0	0	0	136	0	0	0	0	0	155	0	1064	0	0	0	116	0	153	0	0	0	0	0	0	0	162	108	784	696	0	0	0	367	0	0	0	0	0	0	0	0	0	0	193	0	0	0
CABYR	75.653846	0	216	0	0	0	0	221	0	0	0	0	0	0	0	0	220	0	1136	0	0	0	134	0	123	0	0	0	0	0	0	0	0	0	683	566	0	0	204	222	0	0	0	0	0	0	0	0	0	0	209	0	0	0
CNOT1	75.576923	0	0	0	0	0	0	134	0	0	0	0	0	0	0	0	81	0	810	0	0	0	0	0	181	0	0	0	0	0	0	0	90	0	974	789	0	0	0	221	0	0	0	0	0	0	0	89	130	114	145	172	0	0
CDIPT	75.576923	0	450	0	153	0	0	0	0	0	162	0	0	0	0	0	198	217	920	0	142	0	0	0	107	0	101	102	0	0	0	0	0	0	683	366	0	0	0	0	0	0	0	0	0	0	0	0	117	0	121	91	0	0
DARS2	75.442308	0	237	0	0	0	0	252	0	0	96	0	0	0	0	0	141	0	727	0	0	0	0	85	203	0	0	0	0	0	0	0	94	0	653	541	0	0	194	149	0	0	0	0	0	0	0	0	79	122	271	79	0	0
CENPL	75.442308	0	237	0	0	0	0	252	0	0	96	0	0	0	0	0	141	0	727	0	0	0	0	85	203	0	0	0	0	0	0	0	94	0	653	541	0	0	194	149	0	0	0	0	0	0	0	0	79	122	271	79	0	0
SIX2	75.403846	0	134	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	548	0	0	0	0	0	210	111	0	0	125	0	132	0	0	0	756	764	0	0	0	0	0	0	0	0	0	0	0	161	301	221	250	103	0	0
SLC25A42	75.365385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	174	1135	0	0	0	0	0	94	0	0	0	0	0	0	0	158	0	915	691	0	0	0	157	0	0	0	0	87	0	0	0	107	216	103	82	0	0
CFAP20	75.365385	0	205	0	0	0	0	75	0	0	133	0	0	0	0	0	117	0	930	0	0	0	0	0	181	0	0	0	0	0	0	0	0	0	1103	701	0	0	0	201	0	0	0	0	0	0	0	0	92	0	181	0	0	0
ATF3	75.346154	0	0	0	0	408	0	755	187	0	0	0	0	0	0	0	113	127	613	0	0	0	0	0	158	0	0	0	0	0	0	0	0	0	760	490	0	0	0	307	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPIG	75.269231	0	83	0	0	0	0	238	0	0	177	0	0	0	0	0	197	0	1041	0	152	0	0	0	0	0	158	184	0	0	0	0	155	0	366	294	0	0	525	242	0	0	0	0	0	0	0	0	0	0	102	0	0	0
IRF1	75.269231	0	98	0	0	0	0	214	0	0	0	0	0	0	0	0	0	0	897	0	0	0	0	0	121	0	0	93	0	0	0	0	0	0	772	781	0	0	159	293	0	0	0	0	0	0	0	0	107	87	186	106	0	0
RABL3	75.211538	0	0	0	0	0	0	132	0	0	163	0	0	0	0	0	196	0	1031	0	0	0	0	100	157	0	80	0	0	0	0	0	110	88	697	510	0	0	186	118	0	0	0	0	0	0	0	0	89	96	158	0	0	0
GTF2E1	75.211538	0	0	0	0	0	0	132	0	0	163	0	0	0	0	0	196	0	1031	0	0	0	0	100	157	0	80	0	0	0	0	0	110	88	697	510	0	0	186	118	0	0	0	0	0	0	0	0	89	96	158	0	0	0
CD2BP2	75.211538	0	197	0	0	0	0	77	0	0	105	0	0	0	0	0	115	0	1023	0	0	0	0	117	331	0	104	119	0	0	0	0	125	65	673	436	0	0	159	0	0	0	0	0	0	0	0	0	0	0	182	83	0	0
KCNAB2	75.192308	0	0	0	0	0	0	96	0	0	126	0	0	0	0	0	109	0	1549	0	0	0	0	0	250	0	0	0	0	0	0	0	0	0	809	490	0	0	0	126	0	0	0	0	0	0	0	0	135	83	137	0	0	0
RNF181	75.173077	0	0	0	0	0	0	0	0	0	119	0	0	0	0	0	107	0	1117	0	0	0	0	0	350	0	0	0	0	0	0	0	120	0	953	858	0	0	186	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LMLN	75.173077	0	0	0	0	0	0	164	0	0	83	0	0	0	0	0	102	0	1169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	741	516	0	0	0	263	0	0	0	0	0	0	0	168	187	148	368	0	0	0
WASHC3	75.096154	0	207	0	0	0	0	0	0	0	0	0	0	0	0	0	127	0	801	116	96	0	0	0	261	182	0	0	0	0	0	0	108	0	1022	590	0	0	0	229	0	0	0	0	0	0	0	0	0	0	166	0	0	0
FAM72A	75.096154	0	0	0	0	0	0	214	0	0	141	0	0	0	0	0	0	0	859	0	0	0	0	0	161	0	87	102	0	0	96	0	103	0	566	628	0	0	134	479	0	0	0	0	0	0	0	0	146	0	75	114	0	0
RBM25	75.057692	0	129	0	103	0	0	155	0	0	0	0	0	0	0	0	109	0	1183	0	0	0	0	0	154	140	0	0	0	0	0	0	0	0	779	622	0	0	0	0	0	0	0	0	0	0	0	0	131	162	236	0	0	0
IPO11	75.057692	0	0	0	0	99	0	353	92	0	0	0	0	0	0	0	0	0	616	0	0	0	0	0	183	81	0	0	0	0	0	0	0	0	562	495	0	103	618	146	0	0	0	0	0	0	0	0	113	149	197	96	0	0
ALAD	75.038462	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	999	0	0	0	0	0	79	0	480	580	0	0	0	0	0	0	450	400	0	0	466	81	0	0	0	0	0	0	0	0	0	0	0	128	0	0
KLRG2	75.019231	0	0	0	0	202	0	0	0	0	0	0	0	0	0	0	0	0	913	0	0	0	0	0	0	0	277	392	0	0	0	0	0	0	487	356	0	0	946	64	0	0	0	0	0	0	0	0	0	87	0	177	0	0
HELB	75.019231	0	121	0	0	0	0	149	0	0	0	0	0	0	0	0	156	0	841	0	0	0	0	0	185	0	0	0	0	0	0	0	0	122	915	851	0	0	210	351	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DUSP10	75.000000	0	149	0	110	253	0	333	0	0	0	0	0	0	0	0	92	0	405	0	0	0	443	0	154	0	0	0	0	142	0	157	0	0	401	414	0	0	436	0	0	0	0	0	0	0	0	0	0	114	132	165	0	0
CAP1	75.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	0	1177	126	0	0	0	0	185	0	0	0	0	0	0	0	119	0	820	854	0	0	0	174	0	0	0	0	0	0	0	0	90	133	98	0	0	0
ZNF670	74.961538	0	0	0	0	0	0	131	0	0	0	0	0	0	0	0	221	82	1430	0	0	0	0	0	89	0	0	110	0	0	0	0	0	0	681	671	0	0	144	222	0	0	0	0	0	0	0	0	0	0	117	0	0	0
RPIA	74.961538	0	145	0	0	0	0	229	0	0	0	0	0	0	0	0	186	78	815	117	0	0	0	0	180	142	84	121	0	0	0	0	0	0	798	716	0	0	0	287	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EHD4	74.903846	0	85	0	0	0	0	113	0	0	0	0	0	0	0	0	154	0	1167	0	0	0	0	0	175	0	0	0	0	0	0	0	0	0	938	1034	0	0	0	129	0	0	0	0	0	0	0	0	0	0	0	100	0	0
TBC1D22A	74.884615	0	0	0	0	0	0	131	0	0	121	0	0	0	0	0	238	0	619	0	0	0	0	0	0	765	200	85	0	0	0	0	0	108	524	395	0	0	0	300	0	0	0	0	0	0	0	0	140	139	129	0	0	0
OC90	74.884615	0	0	0	0	298	0	162	0	0	0	0	0	0	0	0	0	0	574	0	0	0	223	0	0	0	302	397	0	0	0	0	0	0	227	0	0	0	1341	143	0	0	0	0	0	0	0	0	0	0	0	227	0	0
SLC15A2	74.846154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	0	0	554	109	0	0	149	117	0	0	0	0	0	0	0	0	0	0	1062	1010	0	0	0	0	0	0	0	0	0	0	0	94	228	169	303	0	0	0
ADAMTSL1	74.846154	0	0	0	0	0	0	123	0	0	93	0	0	0	0	0	129	0	471	0	0	0	91	0	133	0	0	0	0	0	0	0	115	0	1142	770	0	0	0	480	0	0	0	0	0	0	0	0	148	105	92	0	0	0
STK40	74.750000	0	0	0	0	0	0	134	0	0	0	0	0	0	0	0	124	71	577	0	115	0	0	0	252	101	151	0	0	0	0	0	0	0	747	766	0	0	209	373	119	0	0	0	0	0	0	0	0	0	0	148	0	0
USE1	74.730769	0	122	0	0	0	0	148	0	0	0	0	0	0	0	0	165	0	683	0	0	0	0	82	215	0	106	89	0	0	0	0	108	0	674	662	0	108	0	172	86	0	0	0	0	0	0	0	0	152	162	152	0	0
CTBP2	74.730769	0	0	0	0	261	0	193	0	0	119	0	0	0	0	0	0	0	95	0	0	0	191	0	0	0	301	352	0	0	0	0	0	0	277	257	0	0	1394	59	0	0	0	0	0	0	0	0	0	0	173	214	0	0
TTLL1	74.653846	0	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	800	150	0	0	0	0	196	0	0	0	0	0	0	0	0	0	1022	868	0	0	124	198	0	0	0	0	0	0	127	0	0	0	0	138	0	0
NDUFC1	74.634615	0	199	0	0	0	0	102	0	0	102	0	0	0	0	0	155	0	1010	85	90	0	0	0	105	0	0	0	0	0	0	0	0	0	821	758	0	0	103	129	0	0	0	0	0	0	0	0	101	0	121	0	0	0
NAA15	74.634615	0	199	0	0	0	0	102	0	0	102	0	0	0	0	0	155	0	1010	85	90	0	0	0	105	0	0	0	0	0	0	0	0	0	821	758	0	0	103	129	0	0	0	0	0	0	0	0	101	0	121	0	0	0
HDAC11	74.634615	0	0	0	0	488	0	674	311	0	0	0	0	0	0	0	0	0	649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	212	324	0	0	273	829	0	0	0	0	0	0	0	0	0	0	121	0	0	0
QSER1	74.615385	900	0	251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	113	0	971	984	0	0	0	95	0	0	0	0	0	0	0	0	0	164	317	0	0	0
L3MBTL2	74.596154	0	94	0	0	0	0	0	0	0	117	0	0	0	0	0	156	0	1147	0	0	0	0	0	268	0	0	72	0	0	0	0	0	0	692	988	0	0	89	99	0	0	0	0	0	0	0	0	0	0	157	0	0	0
CLTC	74.596154	0	118	0	0	0	0	148	0	0	114	0	0	0	0	0	104	94	1049	0	0	0	0	0	0	0	0	125	0	0	0	0	137	0	501	426	0	0	0	248	0	0	0	0	71	0	0	131	162	158	140	153	0	0
SSBP1	74.538462	106	271	0	187	0	0	0	0	0	0	0	0	0	0	0	101	126	566	0	77	0	0	0	230	131	0	0	0	0	0	0	105	142	620	556	0	0	0	220	81	0	0	0	0	0	0	0	0	0	260	97	0	0
DAGLB	74.538462	0	0	0	0	0	0	426	0	0	0	0	0	0	0	0	214	0	915	0	0	0	144	0	120	102	198	100	0	0	0	0	158	0	286	244	0	0	296	268	0	0	0	0	0	0	0	0	124	130	151	0	0	0
SLC17A6	74.519231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1107	0	0	0	104	0	0	170	0	0	0	0	0	0	0	0	804	686	0	0	196	0	0	0	0	0	0	0	0	0	0	217	267	324	0	0
BAMBI	74.519231	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	254	0	234	0	0	0	535	88	0	209	0	0	116	0	124	0	124	121	789	750	0	0	0	158	0	0	0	0	0	0	0	0	0	0	119	122	0	0
ZMAT5	74.480769	0	269	0	0	0	0	0	0	0	91	0	0	0	0	0	174	0	1205	0	0	0	0	0	194	83	139	79	0	0	0	0	0	0	815	721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0
UQCR10	74.480769	0	269	0	0	0	0	0	0	0	91	0	0	0	0	0	174	0	1205	0	0	0	0	0	194	83	139	79	0	0	0	0	0	0	815	721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0
PPRC1	74.461538	0	217	0	0	0	0	108	0	0	0	0	0	0	0	0	179	126	816	108	147	0	0	0	364	167	112	0	0	0	0	0	0	109	535	454	0	0	0	157	0	0	0	0	0	0	0	0	128	0	145	0	0	0
MIB1	74.461538	0	154	0	0	448	0	502	245	0	0	0	0	0	0	0	0	0	876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	479	366	0	0	134	668	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBP1	74.403846	0	0	0	0	0	0	248	0	0	148	0	0	0	0	0	142	0	948	0	0	0	166	0	94	0	0	0	134	0	142	0	85	0	552	458	0	0	187	97	0	0	0	0	0	0	0	0	116	207	145	0	0	0
RRAS2	74.403846	370	0	474	0	229	0	420	0	0	0	0	0	0	0	0	0	0	341	0	0	0	94	193	148	0	0	86	0	0	0	0	0	0	395	148	0	0	349	477	0	0	0	0	0	0	0	0	0	0	145	0	0	0
PINX1	74.403846	0	128	0	0	0	0	169	0	0	99	0	0	0	0	0	124	80	1209	0	0	0	0	0	136	0	0	0	0	0	0	0	0	0	686	718	0	0	0	237	0	0	0	0	184	0	0	0	0	0	99	0	0	0
GPR1	74.384615	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1320	0	0	0	0	0	138	0	648	732	0	0	0	0	0	0	175	165	0	0	599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OGFOD1	74.346154	0	0	0	0	0	0	208	0	0	81	0	0	0	0	0	121	0	948	80	112	0	0	0	147	0	0	0	0	0	0	0	0	0	897	925	0	0	91	181	0	0	0	0	0	0	0	0	0	75	0	0	0	0
NUDT21	74.346154	0	0	0	0	0	0	208	0	0	81	0	0	0	0	0	121	0	948	80	112	0	0	0	147	0	0	0	0	0	0	0	0	0	897	925	0	0	91	181	0	0	0	0	0	0	0	0	0	75	0	0	0	0
ZNF548	74.326923	0	135	0	0	0	0	233	0	0	0	0	0	0	0	0	106	0	1139	0	0	0	0	0	192	100	0	0	0	0	0	0	0	0	924	732	0	0	0	186	0	0	0	0	0	0	0	0	0	0	118	0	0	0
TXNDC16	74.288462	0	0	0	0	0	0	76	0	0	96	0	0	0	0	0	230	0	1296	0	0	0	0	0	171	0	0	0	0	0	0	0	100	0	914	643	0	0	0	236	0	0	0	0	0	0	0	0	0	0	101	0	0	0
GPR137C	74.288462	0	0	0	0	0	0	76	0	0	96	0	0	0	0	0	230	0	1296	0	0	0	0	0	171	0	0	0	0	0	0	0	100	0	914	643	0	0	0	236	0	0	0	0	0	0	0	0	0	0	101	0	0	0
FAM228B	74.230769	0	132	0	114	0	0	0	0	0	0	0	0	0	0	0	0	106	726	0	115	0	0	0	164	0	292	316	0	0	0	0	0	0	454	393	0	0	782	170	96	0	0	0	0	0	0	0	0	0	0	0	0	0
BCAS3	74.230769	0	214	0	0	0	0	106	0	0	0	0	0	0	0	0	146	0	1128	0	0	0	0	0	244	118	0	0	0	0	0	0	0	0	716	623	0	0	215	194	0	0	0	0	0	0	0	0	0	156	0	0	0	0
PRPF38B	74.153846	0	173	0	230	0	0	0	0	0	0	0	0	0	0	0	364	0	1107	0	0	0	0	0	166	0	0	0	0	0	0	0	0	0	740	745	0	0	0	143	0	0	0	0	188	0	0	0	0	0	0	0	0	0
RPL22	74.115385	0	124	0	0	0	0	146	0	0	215	0	0	0	0	0	113	0	1018	0	0	0	0	0	172	0	0	102	0	0	0	0	100	0	587	422	0	0	187	149	0	0	0	0	0	0	0	0	0	161	185	173	0	0
RAD23A	74.096154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	158	1210	0	0	0	0	0	202	112	147	122	0	0	0	0	0	0	682	578	0	0	0	104	0	0	0	0	128	0	146	0	0	0	138	0	0	0
MYBL2	74.096154	0	0	0	0	114	0	0	0	0	0	0	0	0	0	0	0	0	913	0	0	0	0	0	0	0	358	414	0	0	0	0	0	0	210	297	0	0	1167	106	0	0	0	0	0	0	0	0	0	0	0	274	0	0
MEI4	74.076923	0	0	0	0	168	0	114	0	0	112	0	0	0	0	0	0	122	173	0	0	0	134	0	291	211	0	0	0	0	0	0	0	0	487	372	0	0	1264	139	0	0	0	0	0	0	0	0	0	0	76	189	0	0
C4orf33	74.076923	0	0	0	0	277	0	494	165	0	0	0	0	0	0	0	0	0	873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	486	528	0	0	169	860	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR2E1	74.057692	0	0	0	0	541	0	191	0	0	0	0	0	0	0	0	82	0	128	0	0	0	221	0	0	0	300	357	134	229	0	222	0	0	248	167	0	0	430	424	0	0	0	0	0	0	0	0	0	0	177	0	0	0
SDR39U1	73.980769	0	117	0	0	0	0	0	0	0	0	0	0	0	0	0	142	0	1707	0	0	0	0	0	88	0	0	138	0	0	0	0	0	0	678	690	0	0	108	99	0	0	0	0	0	0	0	0	0	0	0	80	0	0
PYCR2	73.980769	0	312	0	157	0	0	143	0	0	0	0	0	0	0	0	93	69	961	0	0	0	0	0	90	0	0	101	0	0	0	0	0	0	863	687	0	0	0	205	0	0	0	0	0	0	0	0	0	0	80	86	0	0
EPB41L5	73.961538	0	0	0	0	0	0	0	0	0	173	0	0	0	0	0	144	172	422	0	129	0	0	0	373	128	0	0	0	0	0	0	179	0	919	901	0	0	0	80	0	0	0	0	0	0	0	0	0	0	226	0	0	0
SPATA5	73.826923	0	181	0	0	0	0	170	0	0	181	0	0	0	0	0	135	113	693	0	119	0	0	0	138	0	0	0	0	0	0	0	142	0	676	525	0	0	0	224	0	0	0	0	0	0	0	0	238	130	174	0	0	0
NUDT6	73.826923	0	181	0	0	0	0	170	0	0	181	0	0	0	0	0	135	113	693	0	119	0	0	0	138	0	0	0	0	0	0	0	142	0	676	525	0	0	0	224	0	0	0	0	0	0	0	0	238	130	174	0	0	0
WDFY2	73.788462	0	0	0	0	0	0	0	0	0	138	0	0	0	0	0	193	124	703	0	130	0	0	0	213	0	158	180	0	0	0	0	155	169	722	552	0	0	0	257	0	0	0	0	0	0	0	0	143	0	0	0	0	0
WBP2	73.788462	0	135	0	0	0	0	168	124	0	0	0	0	0	0	0	0	0	894	0	0	0	0	0	334	221	163	0	0	0	0	0	0	92	678	708	0	0	0	206	0	0	0	0	0	0	0	0	0	0	114	0	0	0
TRAF7	73.788462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	244	0	1008	0	0	0	0	0	447	362	0	0	0	0	0	0	0	0	871	905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POLR1B	73.769231	0	0	0	0	0	0	0	0	122	301	0	108	0	0	0	0	195	460	0	0	0	0	0	67	0	0	84	0	0	0	0	281	157	323	265	250	164	0	161	0	0	0	0	0	0	0	0	0	0	0	707	191	0
PMEPA1	73.711538	0	0	0	0	0	0	68	0	0	111	0	0	0	0	0	144	0	550	0	0	0	0	0	276	169	401	521	0	0	0	0	0	109	637	649	0	0	198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DUS3L	73.692308	0	263	0	184	0	0	0	0	0	0	0	0	0	0	0	138	0	1460	0	0	0	0	0	168	0	0	0	0	0	0	0	0	127	687	645	0	0	0	87	0	0	0	0	0	0	0	0	0	0	73	0	0	0
CDK5RAP1	73.692308	201	260	0	0	0	0	366	177	0	0	0	0	0	0	0	107	89	469	0	0	0	0	0	180	0	0	0	0	0	0	0	0	0	335	280	0	0	555	528	0	0	0	0	0	0	0	0	0	0	127	158	0	0
TERF1	73.538462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	0	1226	0	0	0	0	0	109	0	231	132	0	0	0	0	0	0	724	682	0	0	180	283	0	0	0	0	0	0	0	0	0	0	0	114	0	0
PHKG2	73.480769	0	235	0	106	0	0	96	0	0	0	0	0	0	0	0	83	0	1519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	754	795	0	0	0	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MPPE1	73.480769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	793	0	0	0	0	0	248	149	345	484	0	0	0	0	0	0	682	694	0	0	329	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTUB1	73.442308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	238	0	1104	0	0	0	0	0	283	0	96	148	0	0	0	0	0	0	918	809	0	0	0	133	0	0	0	0	0	0	0	0	0	0	90	0	0	0
WDR11	73.384615	0	282	0	0	0	0	146	0	0	161	0	0	0	0	0	0	128	418	0	0	0	0	0	128	0	467	432	0	0	0	0	0	0	395	402	0	0	443	134	0	0	0	0	164	0	0	0	0	0	0	116	0	0
NRXN1	73.384615	0	0	0	0	0	0	452	0	0	0	0	0	0	0	0	205	0	892	0	0	0	151	0	115	0	0	0	0	0	0	0	0	0	594	525	0	0	159	587	0	0	0	0	0	0	0	0	0	0	136	0	0	0
MEF2A	73.346154	0	0	115	0	220	0	195	0	0	0	0	0	0	0	0	0	0	703	163	0	0	0	0	118	102	203	311	0	0	0	0	0	0	320	167	0	0	743	0	0	0	0	0	0	0	0	0	0	0	0	454	0	0
SHPRH	73.288462	0	198	0	0	0	0	145	0	0	0	0	0	0	0	0	119	0	877	0	0	0	0	0	168	114	0	80	0	0	0	0	0	0	866	971	0	0	0	155	0	0	0	0	0	0	0	0	0	0	118	0	0	0
MTRR	73.288462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	301	0	1337	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	890	844	0	0	0	220	0	0	0	0	0	0	0	0	0	0	100	0	0	0
FASTKD3	73.288462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	301	0	1337	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	890	844	0	0	0	220	0	0	0	0	0	0	0	0	0	0	100	0	0	0
MRPL45	73.250000	0	168	0	0	0	0	99	0	0	0	0	0	0	0	0	163	108	1255	0	0	0	0	0	183	0	79	0	0	0	0	0	0	0	540	629	0	0	108	189	0	0	0	0	0	0	0	0	148	0	140	0	0	0
ZSCAN16	73.230769	0	258	0	0	0	0	0	0	0	188	0	0	0	0	0	211	154	1110	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	769	685	0	0	0	128	0	0	0	0	0	0	0	0	0	157	0	0	0	0
COPS3	73.230769	378	712	0	446	0	0	0	0	0	0	0	0	0	0	0	131	0	923	0	0	0	0	0	196	0	0	0	0	0	0	0	0	0	511	417	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATG9A	73.211538	0	154	0	0	0	0	96	0	0	193	0	0	0	0	0	147	0	1296	0	0	0	0	0	97	0	0	0	0	0	0	0	0	107	522	537	0	0	168	233	0	0	0	0	0	0	0	0	140	0	117	0	0	0
ANKZF1	73.211538	0	154	0	0	0	0	96	0	0	193	0	0	0	0	0	147	0	1296	0	0	0	0	0	97	0	0	0	0	0	0	0	0	107	522	537	0	0	168	233	0	0	0	0	0	0	0	0	140	0	117	0	0	0
DMRTA2	73.153846	0	0	0	0	174	0	0	0	0	102	0	0	0	0	0	0	0	398	0	0	0	294	0	0	0	0	0	139	178	0	194	0	0	279	214	0	0	316	344	0	0	0	0	0	0	0	168	317	315	372	0	0	0
BET1	73.153846	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	151	0	1035	0	141	0	0	0	239	0	0	0	0	0	0	0	0	0	878	842	0	132	0	175	79	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF718	73.115385	0	0	0	0	0	0	77	0	0	97	0	0	0	0	0	243	168	646	0	0	0	0	136	250	0	0	0	0	0	0	0	0	0	868	675	0	0	0	168	0	0	0	0	0	0	131	0	99	125	119	0	0	0
PHLDA1	73.115385	0	112	0	0	0	0	118	0	0	148	0	0	82	0	0	70	0	390	0	0	0	149	0	0	0	0	0	0	0	0	0	0	0	919	866	0	0	0	216	0	0	0	0	0	0	0	127	160	159	286	0	0	0
HIPK3	73.096154	0	0	0	0	398	0	673	268	0	0	0	0	0	0	0	0	0	335	0	0	0	0	0	0	0	126	180	0	0	0	0	0	0	239	209	0	0	611	644	0	0	0	0	0	0	0	0	0	0	118	0	0	0
GTF2H4	73.038462	123	138	0	0	0	0	0	0	0	103	0	0	0	0	0	116	0	752	0	137	0	0	0	117	0	154	97	0	0	0	0	0	0	939	831	0	0	92	0	0	0	0	0	0	0	0	0	0	0	111	88	0	0
RPL18	73.019231	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	123	0	1341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	992	714	0	0	95	132	0	0	0	0	0	0	0	0	0	127	153	0	0	0
DDTL	73.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1817	0	0	0	0	0	169	0	0	0	0	0	0	0	116	0	819	770	0	0	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GART	72.903846	0	129	0	0	0	0	0	0	0	0	0	0	0	0	0	147	0	1483	0	0	0	0	0	0	122	0	0	0	0	0	0	0	0	836	866	0	0	0	127	0	0	0	0	0	0	0	0	0	0	81	0	0	0
